date,temperature,ph,nitrogen,flow_speed,pollution_level
2022-04-30,12.3,7.41,1.24,0.82,0.414
2022-05-31,6.29,7.41,1.19,0.99,0.323
2022-06-30,13.59,8.5,1.19,0.78,0.438
2022-07-31,10.68,7.43,1.0,1.17,0.362
2022-08-31,16.78,7.65,0.73,1.58,0.375
2022-09-30,5.09,7.58,1.02,0.81,0.366
2022-10-31,7.71,7.46,0.8,1.4,0.28
2022-11-30,7.26,7.07,1.29,0.99,0.43
2022-12-31,-0.24,7.5,0.96,0.88,0.233
2023-01-31,12.07,6.89,0.75,1.16,0.336
2023-02-28,11.83,7.11,0.9,0.79,0.407
2023-03-31,10.04,7.01,1.12,0.98,0.351
2023-04-30,8.36,7.23,0.83,0.72,0.386
2023-05-31,0.09,8.13,0.75,1.99,0.188
2023-06-30,7.06,6.45,1.07,1.21,0.334
2023-07-31,7.6,7.47,1.07,0.92,0.393
2023-08-31,4.38,6.55,0.85,1.29,0.349
2023-09-30,8.87,7.01,0.86,1.16,0.331
2023-10-31,12.83,7.64,1.07,1.11,0.403
2023-11-30,23.2,7.23,0.57,1.45,0.338
2023-12-31,11.22,6.77,0.58,1.5,0.238
2024-01-31,11.8,6.91,0.78,0.99,0.371
2024-02-29,9.48,7.47,0.94,0.97,0.333
2024-03-31,-3.43,6.91,1.09,1.09,0.287
2024-04-30,9.81,7.29,1.44,0.28,0.493
2024-05-31,10.42,7.22,1.26,0.59,0.468
2024-06-30,27.24,6.94,0.95,1.75,0.436
2024-07-31,8.65,8.06,0.99,1.86,0.323
2024-08-31,12.11,7.45,0.7,1.1,0.309
2024-09-30,9.76,6.39,0.99,1.43,0.326
2024-10-31,1.82,7.27,0.91,1.32,0.242
2024-11-30,18.0,6.94,1.1,2.43,0.318
2024-12-31,15.26,7.54,0.75,1.65,0.324
